dcNorm,icNorm,ecNorm,scNorm,bcNorm,ccNorm,NCNorm,PecNorm,IonNorm,P&Enorm,Vacuole,Vesicles,Lysosome,Membrane,Mitochondrion,Peroxisome,Secretory pathway,Cell wall,Cytoskeleton,Endoplasmic reticulum,Golgi,Transmembrane,Cytoplasm,Nucleus,Endosome,Extracellular,essential0,essential1
0.003571429,0.302086013,0.001568175,2.46E-06,0,0.96253868,0,0,0.032679598,-0.015815063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.007142857,0.475349088,0.033338481,0.001111454,0,0.97742864,0.061293288,0,0.412985511,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0.025,0.727157353,0.03896409,0.0015182,6.29E-06,0.977609086,0.180202268,0.041314237,0.499404402,0.108781709,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0.007142857,0.475349088,0.033338481,0.001111454,0,0.97742864,0.061293288,-0.000830482,0.701655293,0.031355159,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0.010714286,0.465553744,0.000122664,1.51E-08,0.000287178,0.956067386,0.030646644,0,0.396512456,-0.031630126,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0.003571429,0.262270664,5.97E-05,3.56E-09,0,0.950417073,0,0,0.17429119,-0.015815063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.010714286,0.573258103,0.02630762,0.000692091,1.45E-05,0.974845276,0,0,0,-0.047445189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.007142857,0.44415847,0.009177948,8.42E-05,0,0.969110842,0.061293288,0,0.205887273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.003571429,0.273648891,8.00E-05,6.40E-09,0,0.950384583,0,0,0.032679598,0.006236796,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.028571429,0.765010392,0.056621524,0.003205997,0.003388079,0.981890504,0.085504137,-0.015229513,0.773319176,0.034583044,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.010714286,0.575250295,0.036889745,0.001360853,0,0.97996528,0.091939933,0.020501201,0.826354859,0.037194978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.007142857,0.469812777,0.004171917,1.74E-05,4.72E-05,0.971727543,0,0.009700487,0,0.006423535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.053571429,0.873169423,0.052301575,0.002735455,0.002861759,0.984703184,0.052099295,0,0.706222443,0.020312032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.089285714,0.922456745,0.028018538,0.000787566,0.015131972,0.984424241,0.12319951,0.006521436,0.496843658,0.064673237,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0.021428571,0.699026931,0.006273017,3.94E-05,0.001856305,0.97395733,0,-0.005633284,0.065359196,-0.014776707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.014285714,0.6288153,0.018314649,0.000335427,0.001340279,0.977424345,0,-0.009565911,0.098038794,-0.012668838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.042857143,0.840535263,0.020900643,0.000436838,0.00515312,0.982619299,0.044437634,-0.007421984,0.397961557,0.009515,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.017857143,0.624126307,0.021658401,0.000469087,0.006531902,0.980963723,0,-0.01008139,0.468407572,-0.00145431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.007142857,0.461888139,0.000895287,8.02E-07,0.000115428,0.964433613,0,-0.008631438,0.027232998,-0.005715623,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
0.007142857,0.466116515,0.012392186,0.000153566,0.000579555,0.974264513,0,0.007253776,0.038126198,0.005683055,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0.085714286,0.923110445,0.240389255,0.057786991,0.002412045,0.988620654,0.108795587,0.016408175,0.538159704,0.08546389,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.078571429,0.911418718,0.074456299,0.005543741,0.006926626,0.986984228,0.112779651,0.061287716,0.772315472,0.129226061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.042857143,0.846709372,0.068351858,0.004671976,0.001961777,0.98499101,0.057922158,0.047553915,0.384859217,0.093908332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.039285714,0.833933503,0.027316498,0.000746639,0.008483241,0.983871182,0.036775973,-0.013573497,0.306359211,0.002082145,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.021428571,0.72279624,0.017074669,0.000291544,0.001829136,0.98094209,0,0.015508983,0.375815377,0.030809523,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.142857143,0.954463656,0.30361311,0.092180926,0.015081816,0.989610401,0.21789764,-0.002190349,0.640393528,0.126252917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.017857143,0.661295104,0.002827509,8.20E-06,0.002050525,0.970011122,0.030646644,-0.009204152,0.671664047,0.010863025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.003571429,0.305060752,0.000271697,7.55E-08,0,0.960020892,0,-0.019649437,0.294116382,-0.006505798,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
