dc,ic,ec,sc,bc,cc,nc,ION,essential0,essential1
0.04519774,0.481885633,0.001265771,5.32E-05,0.101543162,0.007484261,0.005800626,0.480824435,0,1
0.011299435,0.553699617,0.003725921,0.000460594,0,0.007492243,0.029530458,0.16614074,0,1
0.005649718,0.35133186,0.000121242,4.88E-07,0,0.007448739,0,0.005050505,0,1
0.050847458,0.660513254,0.000608677,1.23E-05,0.053315698,0.007467961,0,0.449494949,0,1
0.062146893,0.85228022,0.002979814,0.000294597,0.015741259,0.007500385,0.013780881,0.169068078,0,1
0.005649718,0.359375292,3.95E-05,5.18E-08,0,0.007435451,0,0.333333333,0,1
0.028248588,0.622509202,0.000111931,4.16E-07,0.00315705,0.007453973,0,0.338383838,0,1
0.186440678,0.952126632,0.026007457,0.022441219,0.121602216,0.007523694,0.069510736,0.578629408,0,1
0.005649718,0.307375309,1.75E-06,1.02E-10,0,0.007393044,0,0.106060606,0,1
0.073446328,0.885632576,0.012525429,0.005205179,0.017599872,0.007512125,0.036913073,0.167292367,0,1
0.186440678,0.953708461,0.028715689,0.027358309,0.111595654,0.007520539,0.145599326,0.134760487,0,1
0.016949153,0.592677776,9.11E-05,2.75E-07,0.001399262,0.007444853,0,0.434343434,0,1
0.474576271,0.989237906,0.057043255,0.107959429,0.172798818,0.007525605,0.133512906,0.148442269,0,1
0.028248588,0.661304389,0.002131087,0.000150679,0.012459222,0.007491254,0.018456536,0.142248533,0,1
0.011299435,0.380741637,0.00184148,0.000112509,0.0113029,0.007479025,0,0,0,1
0.028248588,0.754707734,0.003670611,0.000447023,0.000716142,0.00749591,0,0,0,1
0.011299435,0.508499309,0.001209686,4.86E-05,0,0.007473674,0.029530458,0.014504238,0,1
0.056497175,0.862581369,0.010052025,0.003352427,0.001843578,0.007502222,0.019686972,0.290543579,0,1
0.011299435,0.546818228,0.001080845,3.88E-05,3.57E-05,0.0074731,0,0.065656566,0,1
0.04519774,0.744880807,0.000324796,3.50E-06,0.021204295,0.007472485,0.00457019,0.804824232,0,1
0.118644068,0.931538623,0.014471442,0.006948251,0.014233914,0.007505817,0.111055616,0.640491655,0,1
0.13559322,0.936087288,0.019230268,0.012269378,0.072569954,0.0075172,0.024529877,0.170668213,0,1
0.005649718,0.358969872,8.27E-05,2.27E-07,0,0.0074428,0,0,0,1
0.11299435,0.930494348,0.01776219,0.010467569,0.004427312,0.007504474,0.038633833,0.557247912,0,1
0.005649718,0.717430579,-7.50E-18,2.53E-19,0,0.000366838,0,0.090909091,0,1
0.129943503,0.940277728,0.017640267,0.010324354,0.014656615,0.007516786,0.01590645,0.210540901,0,1
0.062146893,0.749331345,0.005680569,0.001070617,0.107699262,0.007504412,0.002953046,0.639328295,0,1
0.016949153,0.648629186,0.001812197,0.00010896,0.000409764,0.007485762,0,0.409090909,0,1
0.09039548,0.896023398,0.00650323,0.001403167,0.041227685,0.007512022,0.016487839,0.200555079,0,1
0.13559322,0.943540318,0.020316442,0.013694567,0.00439779,0.007503565,0.044367017,0.563557923,0,1
0.04519774,0.781213265,0.001005674,3.36E-05,0.013488224,0.007479271,0.009491933,0.615403937,0,1
0.163841808,0.946980857,0.01236827,0.005075386,0.109828967,0.007516662,0.065959442,0.219346578,0,1
0.005649718,0.372028378,0.000365998,4.44E-06,0,0.007451263,0,0.01010101,0,1
0.04519774,0.818597635,0.00284345,0.000268251,0.01351048,0.007499065,0.015468335,0.114034751,0,1
0.04519774,0.815476299,0.006468662,0.001388296,0.011876937,0.007494879,0.016874548,0.145888986,0,1
0.079096045,0.896500474,0.008636698,0.00247484,0.012727516,0.007507884,0.051943319,0.681266408,0,1
0.056497175,0.816783891,0.01116825,0.004138287,0.029452616,0.007500303,0,0.090909091,0,1
0.011299435,0.519593486,0.000337621,3.78E-06,2.39E-06,0.00745744,0,0,0,1
0.016949153,0.628476569,0.002410056,0.00019271,0.000823207,0.007495271,0,0,0,1
0.15819209,0.95287996,0.030512345,0.030888979,0.006174899,0.007512415,0.079361673,0.157476569,0,1
0.06779661,0.80634881,0.002317971,0.000178265,0.039603692,0.007490307,0.113319405,0.002913763,0,1
0.056497175,0.841014834,0.005860939,0.001139691,0.02250351,0.007499147,0.019686972,0.65427781,0,1
0.056497175,0.829687982,0.005016836,0.00083505,0.027638686,0.007498116,0.017226101,0.645341031,0,1
0.06779661,0.844092911,0.000452534,6.79E-06,0.007724888,0.007471072,0.059740053,0.400422238,0,1
0.005649718,0.346063447,0.000116611,4.51E-07,0,0.007446582,0,0.45959596,0,1
0.276836158,0.974745126,0.025476665,0.021534548,0.117866717,0.007531469,0.234812008,0.17682807,0,1
0.09039548,0.897989329,0.019790499,0.012994639,0.037133663,0.007509766,0.022147844,0.075429065,0,1
0.141242938,0.945669022,0.030023462,0.029907037,0.007036467,0.007512208,0.073879643,0.375842582,0,1
0.011299435,0.550323581,0.002348964,0.000183064,0.00020835,0.007488929,0,0.015151515,0,1
0.005649718,0.380338652,0.001025832,3.49E-05,0,0.007475846,0,0.388888889,0,1
0.378531073,0.984431893,0.049012072,0.079700037,0.116554339,0.007526104,0.262062977,0.171513495,0,1
0.096045198,0.90997458,0.010109989,0.003391202,0.016767627,0.007504122,0.051678302,0.207394516,0,1
0.033898305,0.766386348,0.001770204,0.000103967,0.002412941,0.007483542,0,0.126262626,0,1
0.005649718,0.379256497,0.000733413,1.78E-05,0,0.007471175,0,0.363636364,0,1
0.169491525,0.955470478,0.026279689,0.022913563,0.015279004,0.007519461,0.133720087,0.196397968,0,1
0.02259887,0.715126619,0.011402519,0.004313724,1.18E-05,0.007498487,0.009843486,0.428916702,0,1
0.389830508,0.985928474,0.064364633,0.137450422,0.067718065,0.007522926,0.175048722,0.165362633,0,1
0.005649718,0.380338652,0.001025832,3.49E-05,0,0.007475846,0,0.409090909,0,1
0.016949153,0.649411373,0.003092477,0.000317295,0.000324648,0.007500365,0.014765229,0.224848527,0,1
0.005649718,0.338427228,0.000121487,4.90E-07,0,0.007451182,0,0.02020202,0,1
0.124293785,0.930585891,0.028001569,0.026014497,0.045750526,0.007507036,0.030147218,0.112311601,0,1
0.033898305,0.781865872,0.002111176,0.000147877,0.000898617,0.007485351,0.023624367,0.154531451,0,1
0.203389831,0.96127112,0.012288965,0.005010523,0.089643163,0.007509414,0.037670623,0.613623399,0,1
